Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Sales,Year,Types,City
2021 Maruti Swift ZXI+ DUAL TONE,,"37,089 km",Petrol,1st Owner,GJ-27,"?16,150/month","?9,18,799?8,59,999",21-Apr,KIA,Ahmedabad
2019 Mahindra MARAZZO M8 7 STR,MANUAL,"49,956 km",Diesel,1st Owner,MH-01,"?21,662/month","?12,91,899?11,53,499",19-Feb,Mahindra,Pune
2019 KIA SELTOS HTX+ MT 1.5 DIESEL,MANUAL,"37,157 km",Diesel,1st Owner,MH-12,"?30,309/month","Fixed Price?16,13,999",19-Oct,Diesel,Pune
2021 Honda Jazz ZX CVT,AUTOMATIC,"9,838 km",Petrol,1st Owner,MH-14,"?19,558/month","?11,08,799?10,41,499",21-Feb,Cars above 10 lakh,Pune
2021 Honda Jazz 1.2 ZX MT,MANUAL,"5,745 km",Petrol,1st Owner,WB-02,"?17,491/month","?9,57,999?9,31,399",21-Feb,Renault,Kolkata
2019 Maruti Eeco 5 STR WITH AC PLUSHTR,MANUAL,"12,281 km",Petrol,1st Owner,TS-11-x-xxxx,"?9,119/month","?4,84,199?4,66,449",19-Feb,Maruti,Hyderabad
2022 SKODA SLAVIA STYLE 1.5 TSI DSG,,"4,854 km",Petrol,1st Owner,TS-07-x-xxxx,"?34,260/month","?19,99,399?18,24,399",22-May,Cars above 10 lakh,Hyderabad
2019 Maruti Alto 800 LXI,MANUAL,"7,693 km",Petrol,1st Owner,GJ-01,"?6,801/month","?3,52,899?3,47,899",19-Apr,Renault,Ahmedabad
2020 Tata ALTROZ XZ 1.2,MANUAL,"18,544 km",Petrol,1st Owner,DL-2C,"?15,549/month","Fixed Price?8,27,999",20-Nov,Tata,New Delhi
2019 Tata Harrier XZ 2.0L Kryotec,MANUAL,"57,852 km",Diesel,1st Owner,WB-38,"?24,488/month","?14,30,999?13,03,999",19-May,Cars above 10 lakh,Kolkata
2020 Mahindra XUV500 W9 AT,AUTOMATIC,"19,869 km",Diesel,1st Owner,MH-46,"?31,345/month","?18,54,499?16,69,149",20-Mar,Diesel,Mumbai
2021 Hyundai NEW I20 ASTA (O) 1.5 CRDI MT,,"27,163 km",Diesel,2nd Owner,MH-12,"?20,274/month","?11,20,399?10,79,599",21-Feb,Renault,Mumbai
